water_year,elev_bin,threshold_1,threshold_2,threshold_best
2017,0,3/7/17,3/15/17,3/15/17
2017,1,3/7/17,3/15/17,3/15/17
2017,2,4/22/17,5/5/17,5/5/17
2017,3,4/22/17,5/5/17,5/5/17
2017,4,4/22/17,5/5/17,5/5/17
2017,5,4/22/17,5/5/17,5/5/17
2017,6,4/22/17,5/5/17,5/5/17
2017,7,4/22/17,5/5/17,5/5/17
2018,0,4/1/18,4/28/18,4/1/18
2018,1,4/1/18,4/28/18,4/1/18
2018,2,4/1/18,4/22/18,4/1/18
2018,3,4/1/18,4/22/18,4/28/18
2018,4,4/1/18,4/22/18,4/28/18
2018,5,4/1/18,4/28/18,4/28/18
2018,6,4/1/18,4/28/18,4/28/18
2018,7,4/1/18,4/28/18,4/1/18
2019,0,4/7/19,4/21/19,4/7/19
2019,1,4/7/19,4/21/19,4/7/19
2019,2,4/7/19,4/21/19,4/21/19
2019,3,4/7/19,4/21/19,4/21/19
2019,4,4/7/19,4/21/19,4/21/19
2019,5,4/7/19,4/21/19,4/21/19
2019,6,4/7/19,4/21/19,4/21/19
2019,7,4/7/19,4/21/19,4/21/19
2020,0,4/14/20,5/1/20,4/14/20
2020,1,4/14/20,5/1/20,4/14/20
2020,2,4/14/20,5/1/20,4/14/20
2020,3,4/14/20,5/1/20,5/1/20
2020,4,4/14/20,5/1/20,5/1/20
2020,5,4/28/20,5/15/20,5/1/20
2020,6,4/28/20,5/15/20,5/1/20
2020,7,4/14/20,5/1/20,5/1/20
2021,0,3/28/21,4/5/21,3/28/21
2021,1,3/28/21,4/5/21,3/28/21
2021,2,3/28/21,4/5/21,4/5/21
2021,3,3/28/21,4/5/21,4/5/21
2021,4,3/28/21,4/5/21,4/5/21
2021,5,3/28/21,4/5/21,4/5/21
2021,6,3/28/21,4/5/21,4/5/21
2021,7,3/28/21,4/5/21,4/5/21
2022,0,3/15/22,4/1/22,3/15/22
2022,1,3/15/22,4/1/22,3/15/22
2022,2,3/15/22,4/1/22,4/1/22
2022,3,3/15/22,4/1/22,4/1/22
2022,4,4/1/22,5/4/22,4/1/22
2022,5,4/1/22,5/5/22,4/1/22
2022,6,4/1/22,5/5/22,4/1/22
2022,7,4/1/22,5/5/22,4/1/22
2023,0,4/15/23,4/28/23,4/21/23
2023,1,4/15/23,4/28/23,4/21/23
2023,2,4/7/23,4/21/23,5/1/23
2023,3,4/21/23,5/1/23,5/1/23
2023,4,4/21/23,5/1/23,5/1/23
2023,5,4/21/23,5/1/23,5/1/23
2023,6,4/21/23,5/1/23,5/1/23
2023,7,4/21/23,5/1/23,5/1/23
2024,0,4/7/24,4/21/24,4/7/24
2024,1,4/7/24,4/21/24,4/7/24
2024,2,4/7/24,4/21/24,4/21/24
2024,3,4/7/24,4/21/24,4/21/24
2024,4,4/7/24,4/21/24,4/21/24
2024,5,4/7/24,4/21/24,4/21/24
2024,6,4/7/24,4/21/24,4/21/24
2024,7,4/7/24,4/21/24,4/21/24
