time,AGP,BCB,BGP,BSH,CHM,DAN,DPO,FLV,GEM,GRM,GRV,HNT,KSP,KUB,KUP,LLE,MAM,MHP,PSR,RCK,SLK,SNF,STL,STR,SWM,TMR,TNY,TUM,UBC,VLC,WWC
2024-12-27,0,1,1,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0
2024-12-28,0,1,1,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0
2024-12-29,0,1,1,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0
2024-12-30,0,1,1,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0
2024-12-31,0,1,1,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0
2025-01-01,0,1,1,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0
2025-01-02,0,1,1,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0
2025-01-03,0,1,1,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0
2025-01-04,0,1,1,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0
2025-01-05,0,1,1,1,0,0,0,0,0,0,1,1,0,2,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0
2025-01-06,0,1,1,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0
2025-01-07,0,1,1,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0
2025-01-08,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
2025-01-09,0,1,1,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0
2025-01-10,0,1,1,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0
2025-01-11,0,1,1,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0
2025-01-12,0,1,1,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0
2025-01-13,0,1,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0
2025-01-14,0,1,1,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,1,0,1,1,0,2,0,0,0,0,0
2025-01-15,0,1,1,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,1,0,1,0,1,1,0,2,0,0,0,0,1
2025-01-16,0,1,1,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,0,1
2025-01-17,0,1,1,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,2,0,1,0,1,1,0,2,0,0,0,0,1
2025-01-18,0,1,1,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,2,0,1,0,1,1,0,2,0,0,0,0,1
2025-01-19,0,1,1,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,2,0,1,0,1,1,0,2,0,0,0,0,0
2025-01-20,0,1,1,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,2,0,1,0,1,1,0,2,0,0,0,0,1
2025-01-21,0,1,1,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,2,0,1,0,1,1,0,2,0,0,0,0,1
2025-01-22,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,1,0,1,1,0,2,0,0,0,0,1
