,water_year,elev_bin,threshold_1,threshold_2,threshold_best
0,2013,0,2013-03-01,2013-03-15,2013-03-15
1,2013,1,2013-03-15,2013-04-01,2013-03-15
2,2013,2,2013-04-01,2013-04-15,2013-04-15
3,2013,3,2013-04-01,2013-04-15,2013-04-15
4,2013,4,2013-04-01,2013-04-15,2013-04-15
5,2013,5,2013-04-01,2013-04-15,2013-04-15
6,2013,6,2013-04-15,2013-05-15,2013-05-15
7,2013,7,2013-04-01,2013-04-15,2013-04-15
8,2014,0,2014-03-01,2014-03-15,2014-03-01
9,2014,1,2014-04-01,2014-04-10,2014-04-10
10,2014,2,2014-04-10,2014-04-20,2014-04-10
11,2014,3,2014-04-10,2014-04-20,2014-04-10
12,2014,4,2014-04-10,2014-05-10,2014-04-10
13,2014,5,2014-04-10,2014-05-10,2014-05-10
14,2014,6,2014-05-10,2014-05-20,2014-05-20
15,2014,7,2014-04-01,2014-04-10,2014-04-10
16,2015,0,2015-03-01,2015-03-15,2015-03-01
17,2015,1,2015-03-15,2015-03-01,2015-03-15
18,2015,2,2015-03-01,2015-03-15,2015-03-15
19,2015,3,2015-03-01,2015-03-15,2015-03-15
20,2015,4,2015-03-15,2015-04-20,2015-04-20
21,2015,5,2015-03-15,2015-04-20,2015-04-20
22,2015,6,2015-05-05,2015-06-01,2015-06-01
23,2015,7,2015-03-01,2015-03-15,2015-03-15
24,2016,0,2016-03-01,2016-03-20,2016-03-01
25,2016,1,2016-03-15,2016-03-25,2016-03-15
26,2016,2,2016-03-15,2016-05-01,2016-05-01
27,2016,3,2016-03-15,2016-05-01,2016-05-01
28,2016,4,2016-03-15,2016-05-15,2016-05-15
29,2016,5,2016-03-15,2016-05-15,2016-05-15
30,2016,6,2016-03-15,2016-05-15,2016-05-15
31,2016,7,2016-03-15,2016-05-01,2016-05-01
32,2017,0,2017-03-15,2017-04-05,2017-03-15
33,2017,1,2017-03-01,2017-03-15,2017-03-15
34,2017,2,2017-03-15,2017-05-10,2017-05-10
35,2017,3,2017-04-15,2017-05-05,2017-05-05
36,2017,4,2017-05-05,2017-06-05,2017-05-05
37,2017,5,2017-05-05,2017-06-10,2017-06-10
38,2017,6,2017-04-15,2017-06-10,2017-06-10
39,2017,7,2017-04-15,2017-05-15,2017-05-15
40,2018,0,2018-03-15,2018-04-01,2018-04-01
41,2018,1,2018-04-01,2018-04-15,2018-04-15
42,2018,2,2018-04-15,2018-05-01,2018-05-01
43,2018,3,2018-04-15,2018-05-01,2018-05-01
44,2018,4,2018-04-15,2018-05-01,2018-05-01
45,2018,5,2018-04-15,2018-05-01,2018-05-01
46,2018,6,2018-04-15,2018-05-01,2018-05-01
47,2018,7,2018-04-15,2018-05-01,2018-05-01
48,2019,0,2019-03-15,2019-04-01,2019-04-01
49,2019,1,2019-03-15,2019-04-01,2019-04-01
50,2019,2,2019-04-01,2019-04-20,2019-04-20
51,2019,3,2019-04-01,2019-04-20,2019-04-20
52,2019,4,2019-04-20,2019-05-10,2019-05-10
53,2019,5,2019-05-01,2019-05-10,2019-05-10
54,2019,6,2019-04-20,2019-06-01,2019-06-01
55,2019,7,2019-04-01,2019-04-20,2019-04-20
56,2020,0,2020-03-01,2020-04-01,2020-03-01
57,2020,1,2020-04-01,2020-04-15,2020-04-15
58,2020,2,2020-04-01,2020-04-15,2020-04-15
59,2020,3,2020-04-15,2020-05-15,2020-04-15
60,2020,4,2020-05-01,2020-05-15,2020-05-01
61,2020,5,2020-05-01,2020-05-15,2020-05-15
62,2020,6,2020-05-15,2020-05-25,2020-05-25
63,2020,7,2020-04-01,2020-04-15,2020-04-15
64,2021,0,2021-03-01,2021-03-15,2021-03-15
65,2021,1,2021-03-15,2021-04-01,2021-04-01
66,2021,2,2021-04-01,2021-04-15,2021-04-01
67,2021,3,2021-04-15,2021-05-01,2021-04-15
68,2021,4,2021-04-15,2021-05-01,2021-05-01
69,2021,5,2021-04-15,2021-05-01,2021-05-01
70,2021,6,2021-04-15,2021-05-01,2021-05-01
71,2021,7,2021-04-01,2021-04-15,2021-04-15
72,2022,0,2022-03-01,2022-03-15,2022-03-01
73,2022,1,2022-02-25,2022-03-15,2022-03-15
74,2022,2,2022-03-15,2022-04-15,2022-03-15
75,2022,3,2022-03-15,2022-05-01,2022-05-01
76,2022,4,2022-04-15,2022-05-01,2022-05-01
77,2022,5,2022-04-15,2022-05-01,2022-05-01
78,2022,6,2022-05-01,2022-05-25,2022-05-01
79,2022,7,2022-04-15,2022-05-01,2022-04-15
80,2023,0,2023-03-15,2023-04-01,2023-04-01
81,2023,1,2023-03-15,2023-04-01,2023-04-01
82,2023,2,2023-04-01,2023-04-15,2023-04-15
83,2023,3,2023-04-15,2023-05-01,2023-05-01
84,2023,4,2023-04-15,2023-05-15,2023-05-15
85,2023,5,2023-05-01,2023-05-15,2023-05-15
86,2023,6,2023-05-15,2023-05-01,2023-05-15
87,2023,7,2023-04-15,2023-05-01,2023-05-01
88,2024,0,2024-03-15,2024-04-05,2024-04-05
89,2024,1,2024-03-15,2024-04-05,2024-04-05
90,2024,2,2024-04-05,2024-04-15,2024-04-15
91,2024,3,2024-04-15,2024-05-05,2024-04-15
92,2024,4,2024-04-15,2024-05-05,2024-05-05
93,2024,5,2024-04-15,2024-05-05,2024-05-05
94,2024,6,2024-04-15,2024-05-05,2024-05-05
95,2024,7,2024-04-15,2024-05-05,2024-04-15
